stops_id,stops_name,stops_route_id
1,Banaswadi Main Road – HP Petrol Bunk,1
2,RS Palya Main Road,1
3,Kammanahalli Cross,1
4,Uttam Sagar,1
5,Horamau Signal,1
6,Ramamurthynagar Jn.	,1
7,Kasturinagar Ring Road,1
8,Tin Factory	,1
9,KR Puram Railway Station,1
10,Bomanahalli,1
11,Ganganagar / CBI Office	,2
12,Mekhri Circle	,2
13,Fun World / Nandidurga Road / Cole’s Park	,2
14,Halsoor Lake (Ganapathy Temple)	,2
15,RMZ IT Park	,2
16,Old Madras Road ,2
17,KFC Indiranagar	,2
18,Madivala,2
19,Kudlu Gate,2
20,Hosa Road,2
21,Maruthi Mandir,3
22,Vijaya Nagar	,3
23,Rajaji Nagar/Wariyar Bakery,3
24,Navarang metro stations	,3
25,Mahalakhshmi Layout (ISKCON)	,3
26,Yeshwantpura Police Station	,3
27,CET Cell	,3
28,NIMHNS ,3
29,St. John’s Medical College,3
30,Silkboard	,3
31,Kadranahalli Cross	,4
32,Kumarswamy Layout	,4
33,ISRO Layout          ,4
34,Konankunte Cross	    ,4
35,Yelechanahalli	    ,4
36,Sindhoor Klyan Mantapa	,4
37,J.P. Nagar 15th Cross ,4	
38,Meenakshi Mall	 ,4
39,Gottigere / Bannerghatta Road	,4
40,NICE Road,4